Date,Site,Depth,CO2,CH4,N2O
2020-05-26,AL2,0,14.036010347274228,0.020580588366540954,0
2020-05-26,AL3,0,13.57711693293845,0.02004606759002968,0
2020-06-02,AL1,0,15.781151199415062,0.01711964852735558,0
2020-06-02,AL2,0,15.294116404744052,0.016700015145152968,0
2020-06-02,AL3,0,15.207580568728513,0.016625165920922922,0
2020-06-09,AL1,0,13.03829985502428,0.0063225441961931,0
2020-06-09,AL2,0,13.905423941044406,0.006653182890065284,0
2020-06-09,AL3,0,14.427315446606338,0.00685010380506847,0
2020-06-16,AL1,0,13.21769539764396,0.005612735101738593,0
2020-06-16,AL2,0,13.867841190455003,0.005830197488341774,0
2020-06-16,AL3,0,14.147070317432227,0.0059229387417393704,0
2020-06-23,AL1,0,13.385034870967946,0.009840920953721277,0
2020-06-23,AL2,0,13.80949109155472,0.010087168893924133,0
2020-06-23,AL3,0,13.967974429244338,0.010178706696404322,0
2020-06-30,AL1,0,12.458079994407244,0.02757250700372704,0
2020-06-30,AL2,0,12.978830336357857,0.028481024282355476,0
2020-06-30,AL3,0,13.304332053365716,0.029045039695891964,0
2020-07-07,AL1,0,12.100598707562453,0.045679842080706065,0
2020-07-07,AL2,0,12.635142656486035,0.04727012846289864,0
2020-07-07,AL3,0,13.055493242516667,0.04851084588393644,0
2020-07-13,AL1,0,13.371836478991192,0.015612047763452715,0
2020-07-13,AL2,0,14.106451687680039,0.01628724758532476,0
2020-07-13,AL3,0,14.471917999609499,0.016620411600972003,0
2020-07-21,AL1,0,15.719318824384333,0.012769685652766939,0
2020-07-21,AL2,0,16.358038385092506,0.013178745189508236,0
2020-07-21,AL3,0,16.45189575968733,0.01323857182121894,0
2020-07-28,AL2,0,12.902765760430706,0.012774380223467713,0
2020-07-28,AL3,0,13.157223821481333,0.012973415262319106,0
2020-08-04,AL2,0,14.782222983010266,0.01696657014979722,0
2020-08-04,AL3,0,15.129248660172792,0.017281131158932574,0
2020-10-05,AL,0,NA,NA,NA
2020-10-05,AL2,0,NA,NA,NA
2020-10-05,AL3,0,NA,NA,NA
2021-05-26,AL2,0,14.570934913192096,0.0032010284997564795,0
2021-05-26,AL3,0,14.487290834506412,0.0031864725716640586,0
2021-05-27,AL1,0,29.0720349014206,0.004080768426590444,0
2021-06-01,AL1,0,14.836449136993073,0.011943737273166173,0
2021-06-01,AL2,0,16.18828812480553,0.012797390231638816,0
2021-06-01,AL3,0,16.23592309719921,0.012827192943466195,0
2021-06-08,AL1,0,10.898554151097345,0.0033977998092054656,0
2021-06-08,AL1,1,11.019239365444419,0.0034275525039346353,0
2021-06-08,AL2,0,11.713594325258759,0.0035974420853320506,0
2021-06-08,AL2,1,11.713594325258759,0.0035974420853320506,0
2021-06-08,AL3,0,13.742862825946407,0.004082490772197234,0
2021-06-08,AL3,1,12.081185414434355,0.0036865275123991233,0
2021-06-15,AL1,0,12.623956011882573,0.0032057963951409836,0
2021-06-15,AL1,1,12.912549756253345,0.0032636784218328116,0
2021-06-15,AL2,0,13.949060494541616,0.0034693992369280073,0
2021-06-15,AL2,1,13.949060494541616,0.0034693992369280073,0
2021-06-15,AL3,0,12.98597551470585,0.003278361916084696,0
2021-06-15,AL3,1,12.98597551470585,0.003278361916084696,0
2021-06-30,AL1,0,11.363265173041306,0.002453540322083405,0
2021-06-30,AL1,1,11.394476613489237,0.0024588739423396094,0
2021-06-30,AL2,0,12.176649002503062,0.002591568610667,0
2021-06-30,AL2,1,12.176649002503062,0.002591568610667,0
2021-06-30,AL3,0,12.663862766520607,0.0026733230983602653,0
2021-06-30,AL3,1,12.699583555746445,0.002679290993466426,0
2021-07-09,AL1,0,10.785900448766288,0.004772871368044071,0
2021-07-09,AL2,0,11.956317179526122,0.005178676690102012,0
2021-07-09,AL2,1,11.956317179526122,0.005178676690102012,0
2021-07-09,AL3,0,12.38039387169921,0.005324614345874623,0
2021-07-09,AL3,1,12.38039387169921,0.005324614345874623,0
2021-07-15,AL1,0,10.237668386751526,0.0025609290605033337,0
2021-07-15,AL2,0,11.12621910515767,0.002735715255594474,0
2021-07-15,AL2,1,11.12621910515767,0.002735715255594474,0
2021-07-15,AL3,0,11.635371293990662,0.002834360352180135,0
2021-07-15,AL3,1,11.635371293990662,0.002834360352180135,0
2021-07-20,AL2,0,12.447893778483845,0.003602539270694717,0
2021-07-20,AL2,1,12.483296276969895,0.003610648145363767,0
2021-08-03,AL1,0,12.062041192304799,0.0015502057522282142,0
2021-08-03,AL2,0,12.723010526461414,0.0016169735170405088,0
2021-08-03,AL2,1,12.759245384622492,0.0016206181452660129,0
2021-08-03,AL3,0,13.517304069954589,0.00169653201859011,0
2021-08-03,AL3,1,13.517304069954589,0.00169653201859011,0
2021-08-04,AL4,0,NA,NA,NA
2021-08-06,AL4,0,13.926274788490876,0.003411587478517523,0
2021-08-06,AL5,0,14.046923169156232,0.0034350406477911513,0
2021-08-06,AL6,0,13.809832279154342,0.0033890599004063934,0
2021-08-06,AL6,1,NA,NA,NA
2021-08-09,AL1,0,13.7603155740269,0.001954371724343655,0
2021-08-09,AL2,0,13.993474056401233,0.0019805421224252263,0
2021-08-09,AL2,1,13.993474056401233,0.0019805421224252263,0
2021-08-09,AL3,0,14.191536529914345,0.0020027019277070804,0
2021-08-09,AL3,1,14.191536529914345,0.0020027019277070804,0
2021-08-11,AL4,0,12.481039890969095,0.002508641341470121,0
2021-08-11,AL5,0,13.634819410385834,0.002691007424720541,0
2021-08-11,AL6,0,11.909025391831001,0.0024173401259690967,0
2021-08-18,AL4,0,14.511788703583369,0.002282726267506931,0
2021-08-18,AL5,0,15.720010638525013,0.002432030255191675,0
2021-08-18,AL6,0,16.02601270907215,0.0024693250439503985,0
2021-08-20,AL1,0,19.020012984032114,0.0021129092648753617,0
2021-08-20,AL2,0,21.13269508868337,0.00229705571192968,0
2021-08-20,AL2,1,21.191654761132565,0.0023021278138366484,0
2021-08-20,AL3,0,22.115140982256545,0.002381509696098214,0
2021-08-20,AL3,1,22.177520866205956,0.0023868261503903784,0
2021-08-30,AL4,0,14.325595167328867,0.004228905958748125,0
